Data_Extracted_By,Type_of_Study,Authors,Year,DOI,Location,Type_of_Fishery,Fishery_Species,Climate_Y_or_N,Policy_Y_or_No,Climate_Stressor,Policy_Intervention,Output,Result,Notes
Annie,Research article,Ferreira et al. 2026,2026,https://doi.org/10.1016/j.marpol.2025.106995,Cabo Verde,Artisanal and semi-industrial,"Tuna, small pelagics, demersals, crustaceans",Y,Y,"Climate change, temperature, sea level rise, adification, deoxygenation",Subsidies,Revenue,"The results indicate that neither of the fisheries were economically viable, as the total costs exceeded the total revenues. However, public subsidies changed this outcome, enabling financial viability",
Annie,Book chapter,Kumar et al. 2026,2026,10.1007/978-3-032-13638-1_19,"Case studies of U.S., New Zealand, Pacific Islands, Philippines","Commercial, Artisanal",NA,Y,Y,"Climate change, temperature, sea level rise, adification, deoxygenation","International agreements, regional and national initiatives",Case studies,"From an inter-disciplinary perspective, this book reviews the advances in topics such as marine protected areas, sustainable fisheries, ocean governance, and pollution management. It emphasizes ongoing issues such as overfishing, habitat destruction, plastic pollution, and weak enforcement of global agreements",
Annie,Book chapter,Babu et al.,2026,https://doi.org/10.1007/978-3-032-13638-1_15,Global,NA,NA,Y,Y,"Climate change, temperature, extreme weather, sea level rise",AI,Policy recommendations,"As shown by key findings, AI enhances precision, agility, and policy adaptation most effectively when combined with digital twins, open data systems, and ethical governance frameworks (Agarwala 2025; Gupta 2024). But barriers like data inequity, legal uncertainty, skill gaps, and ethical risk remain. But inclusive policy reform, capacity building, and government, community, and codesigned AI systems founded on community values and ecological integrity can help us overcome these.",
Annie,Research article,Ngo et al. 2025,2025,http://dx.doi.org/10.1108/IJCCSM-02-2025-0041,Vietnam,Subsistence,NA,Y,Y,"Rainfall, temperature, storms, erosion","Fishing reinvestment, seasonal labor, unsustainable nets",Household economic impacts info from interview,"Climate change causes 23.5% severe gear damage and 21% resource depletion in Phu Thuan. Households adapt via 58% fishing reinvestment and 47% seasonal labor; 21% use unsustainable nets. Younger age increases diversification (OR = 1.50, p < 0.01) mirroring global constraints.",W*NA for species means I didn't see that info easily available - I have not done a detailed read of the paper
Annie,Research article,Nuotuo et al. 2025,2025,https://doi.org/10.1007/s40152-025-00458-5,Ghana,Artisanal,NA,Y,Y,"Climate change, temperature, sea level rise, adification, deoxygenation",Subsidies,Info from interviews,"The findings indicate that Ghana’s marine SSF is heavily reliant on capacity-enhancing subsidies and is experiencing dwindling fish stocks as a result of overcapacity, overfishing, IUU fishing, and climate change. This suggests that the withdrawal of subsidies will significantly affect Ghana’s marine SSF.",
Annie,Research article,Kerimedas et al. 2025,2025,https://doi.org/10.1016/j.ecolmodel.2025.111278,Aegean Sea,Commercial,Many,See Notes,Y,Climate change,MPAs,"Biomass, Catch","Larger MPAs with stricter protections yielded more pronounced ecological benefits, particularly for demersal and benthic species, but posed economic challenges for fisheries.",*Climate change is discussed but not explicitly evaluated in the model
Annie,Policy brief,Freret-Meurer et al. 2025,2025,https://doi.org/10.1002/aqc.70256,Brazil,"Aquarium, small-scale (medicinal), incidental",Seahorse,Y,Y,"Climage change, temperature","MPA, wastewater management, fishing regulations, enforcement",Policy recommendations,"Their conservation relies on targeted public policies addressing coastal management, efficient wastewater treatment, climate change mitigation and strict enforcement of regulations against industrial fishing, intentional capture and illegal trade",
Annie,Research article,Daliri et al. 2025,2025,https://doi.org/10.1016/j.marpol.2025.106813,Persian Gulf,"Commercial, Artisanal","Pelagics, demersals, shrimps, molluscs",See Notes,Y,Climate change,Fishing ban,Info from interviews,"The results revealed that while most fishermen expressed concerns about weak fisheries co-management, they were equally apprehensive about the ongoing exploitation of fish in the region",*Climate change is discussed but not explicitly evaluated in the model
Annie,Research article,Peng et al. 2025,2025,https://doi.org/10.1021/acs.est.5c02550?urlappend=%3Fref%3DPDF&jav=VoR&rel=cite-as,19 Largest fishing nations,Industrial,Many,Y,Y,"Climate change, temperature, sea level rise, adification, deoxygenation","Carbon pricing, ITQs, eliminating harmful subsidies",Policy recommendations,"we propose a fishery carbon pricing framework based on downstream emissions trading and individual transferable quotas, which offers a promising strategy for gradually eliminating harmful subsidies while promoting sustainable fisheries, mitigating climate impacts, and reconciling economic realities with environmental imperatives",
Annie,Research article,Park & Lee 2025,2025,10.54648/trad2025036,Global,NA,NA,Y,Y,Climate change,Subsidies,Policy recommendations,"In particular, we analyse discussions at the Committee on Trade and Environment (CTE), negotiations involving the Environmental Goods Agreement (EGA) and Fisheries Subsidy Agreement (FSA), and previous trade disputes concerning environmental measures.",
